id_client,âge,sexe,pays,date_inscription
1,23,Femme,Allemagne,2022-08-03
2,63,Femme,Italie,2023-07-05
3,67,Femme,Italie,2023-04-21
4,61,Femme,France,2022-07-17
5,60,Homme,Belgique,2025-02-05
6,62,Femme,Allemagne,2023-02-07
7,38,Homme,Italie,2023-06-21
8,40,Homme,Allemagne,2022-12-29
9,60,Homme,Allemagne,2024-06-20
10,33,Homme,Italie,2025-04-20
11,64,Homme,Espagne,2022-12-10
12,32,Homme,Belgique,2024-11-08
13,42,Femme,Belgique,2023-05-20
14,53,Femme,France,2024-06-07
15,28,Femme,France,2025-06-06
16,68,Homme,France,2023-07-19
17,32,Femme,Belgique,2024-01-10
18,21,Femme,Espagne,2023-03-03
19,38,Femme,Belgique,2025-01-12
20,30,Homme,Belgique,2025-01-14
21,39,Femme,Belgique,2022-12-10
22,36,Homme,Belgique,2023-02-25
23,51,Femme,Espagne,2023-10-12
24,31,Homme,France,2022-11-30
25,21,Homme,Allemagne,2024-11-30
26,65,Homme,France,2022-07-25
27,69,Femme,France,2023-10-13
28,63,Femme,Allemagne,2024-11-26
29,44,Homme,Belgique,2025-05-03
30,46,Femme,Espagne,2024-01-20
31,64,Homme,Espagne,2024-02-22
32,45,Homme,France,2023-04-20
33,52,Femme,Allemagne,2022-10-12
34,25,Femme,Italie,2024-12-21
35,33,Femme,Belgique,2025-05-23
36,59,Homme,France,2025-02-14
37,53,Homme,Espagne,2023-06-28
38,47,Femme,Allemagne,2022-11-21
39,35,Homme,Allemagne,2025-06-03
40,19,Femme,France,2023-09-27
41,66,Homme,Italie,2025-05-13
42,30,Femme,Espagne,2025-01-03
43,21,Femme,France,2022-12-21
44,43,Homme,Italie,2024-11-11
45,42,Femme,Allemagne,2022-08-18
46,47,Femme,Belgique,2023-12-07
47,28,Homme,Espagne,2024-09-20
48,24,Femme,Espagne,2024-04-11
49,48,Homme,Italie,2025-04-08
50,61,Femme,France,2024-01-12
51,27,Homme,Allemagne,2022-10-01
52,56,Femme,Italie,2024-08-09
53,30,Femme,Belgique,2025-03-17
54,48,Femme,Belgique,2023-11-28
55,24,Femme,Belgique,2022-07-05
56,66,Homme,Italie,2024-03-29
57,59,Homme,Allemagne,2024-07-16
58,59,Homme,Espagne,2022-11-26
59,53,Homme,France,2024-04-19
60,37,Homme,Espagne,2023-12-30
61,21,Homme,Allemagne,2025-02-27
62,24,Homme,Espagne,2024-05-30
63,18,Femme,Italie,2023-02-08
64,61,Femme,Belgique,2024-04-22
65,62,Femme,Allemagne,2023-03-16
66,59,Femme,Allemagne,2024-09-03
67,64,Homme,Espagne,2025-03-22
68,30,Homme,Italie,2023-08-09
69,39,Homme,Espagne,2025-01-27
70,38,Femme,Espagne,2024-09-29
71,39,Homme,Allemagne,2024-07-06
72,45,Femme,Espagne,2024-06-07
73,26,Homme,Belgique,2024-04-22
74,43,Homme,Espagne,2024-12-22
75,26,Homme,Belgique,2023-08-06
76,32,Homme,Allemagne,2023-10-29
77,27,Femme,Italie,2023-07-02
