id_vente,produit_id,date,pays,canal,quantité,remise
1,664,2025-03-06,France,Mobile app,4,4.5
2,428,2024-11-16,Espagne,Réseaux sociaux,1,2.29
3,825,2025-04-04,Italie,Site web,1,25.98
4,864,2024-09-02,Espagne,Email,4,24.8
5,400,2024-11-22,France,Email,1,15.7
6,992,2025-01-15,Espagne,Site web,2,19.87
7,109,2025-04-15,Belgique,Réseaux sociaux,2,21.58
8,485,2025-01-17,Espagne,Mobile app,1,14.3
9,888,2024-12-19,Allemagne,Réseaux sociaux,2,7.72
10,356,2024-08-23,France,Mobile app,3,14.44
11,149,2024-11-05,France,Email,3,28.52
12,879,2025-01-18,Italie,Site web,3,25.13
13,716,2025-01-16,Belgique,Site web,1,13.97
14,307,2024-12-19,Italie,Email,1,6.77
15,533,2024-09-21,Espagne,Mobile app,2,26.69
16,60,2024-10-12,Allemagne,Réseaux sociaux,2,19.15
17,435,2025-01-25,Allemagne,Mobile app,2,12.14
18,21,2024-10-26,Allemagne,Site web,1,3.35
19,875,2025-04-11,Allemagne,Réseaux sociaux,2,22.55
20,382,2025-03-15,Belgique,Réseaux sociaux,3,9.51
21,245,2024-11-16,Espagne,Mobile app,3,18.19
22,902,2025-03-27,Allemagne,Mobile app,4,17.09
23,73,2024-08-07,France,Mobile app,4,20.99
24,449,2025-05-13,Espagne,Réseaux sociaux,4,16.13
25,76,2025-05-16,Belgique,Email,3,18.91
26,698,2025-02-26,Allemagne,Réseaux sociaux,1,2.45
27,590,2024-07-31,Belgique,Site web,2,19.96
28,390,2025-04-01,Allemagne,Email,2,5.83
29,577,2024-09-12,France,Email,1,11.76
30,342,2024-12-05,Espagne,Mobile app,4,15.38
31,290,2025-04-15,France,Réseaux sociaux,1,20.61
32,568,2025-03-13,Allemagne,Site web,3,22.27
33,331,2024-08-16,Italie,Réseaux sociaux,1,21.15
34,259,2024-07-23,Espagne,Mobile app,3,2.85
35,426,2024-09-06,Belgique,Réseaux sociaux,3,11.61
36,702,2024-12-29,Allemagne,Site web,4,8.42
37,6,2024-11-17,France,Mobile app,2,11.95
38,6,2025-04-16,Italie,Réseaux sociaux,4,19.41
39,191,2024-10-24,Allemagne,Site web,3,5.79
40,148,2025-04-22,Belgique,Site web,4,15.06
41,405,2025-01-14,France,Mobile app,2,26.55
42,258,2025-02-08,Espagne,Mobile app,4,21.93
43,730,2025-03-12,Italie,Email,3,21.76
44,479,2025-03-07,Allemagne,Email,2,25.46
45,90,2025-03-16,Allemagne,Site web,4,11.98
46,824,2024-07-05,Allemagne,Mobile app,1,22.78
47,864,2024-08-16,Allemagne,Mobile app,2,1.76
48,10,2024-11-13,France,Réseaux sociaux,4,1.69
49,87,2025-02-16,Espagne,Réseaux sociaux,1,9.95
50,762,2024-06-17,Belgique,Réseaux sociaux,2,5.91
51,838,2025-04-23,Italie,Réseaux sociaux,1,15.56
52,151,2024-07-20,Allemagne,Email,4,5.5
53,988,2025-04-30,Allemagne,Réseaux sociaux,1,29.27
54,625,2024-08-10,Espagne,Mobile app,1,25.53
55,30,2024-12-15,Espagne,Site web,3,29.48
56,128,2025-06-09,France,Site web,1,24.23
57,78,2025-02-03,France,Site web,2,28.53
58,421,2024-12-01,France,Email,1,11.04
59,55,2024-07-19,Italie,Site web,1,14.94
60,480,2024-07-09,France,Email,2,7.19
61,305,2024-09-25,Allemagne,Email,4,19.07
62,546,2024-09-09,France,Site web,4,23.65
63,105,2024-11-06,Italie,Email,1,14.96
64,172,2024-07-16,France,Réseaux sociaux,2,8.89
65,499,2025-02-06,France,Réseaux sociaux,1,15.23
66,22,2024-06-29,Allemagne,Réseaux sociaux,2,1.89
67,287,2025-03-23,Allemagne,Email,2,21.63
68,391,2024-11-11,Allemagne,Réseaux sociaux,4,13.55
69,617,2025-06-11,France,Site web,1,26.95
70,149,2024-11-17,Allemagne,Site web,1,27.7
71,272,2025-02-08,Espagne,Email,1,3.77
72,788,2025-02-24,Belgique,Email,1,29.88
73,299,2025-01-03,Belgique,Réseaux sociaux,1,29.09
74,172,2024-10-04,Allemagne,Mobile app,1,18.81
75,47,2025-03-18,Italie,Site web,3,24.76
76,626,2025-02-02,Allemagne,Mobile app,1,0.55
77,787,2024-07-07,Allemagne,Réseaux sociaux,3,29.11
78,816,2025-04-11,France,Email,3,13.69
79,992,2025-04-29,Italie,Réseaux sociaux,3,27.29
80,207,2024-08-22,Allemagne,Mobile app,1,11.55
81,453,2025-02-18,Espagne,Réseaux sociaux,2,23.65
82,395,2024-12-23,Belgique,Email,4,12.54
83,975,2024-12-02,Espagne,Mobile app,2,10.88
84,925,2024-06-19,Espagne,Réseaux sociaux,2,28.4
85,754,2024-09-01,Espagne,Email,1,20.97
86,301,2025-05-11,Italie,Réseaux sociaux,2,25.2
87,708,2025-02-25,Italie,Réseaux sociaux,2,16.3
88,676,2025-06-11,Italie,Email,1,27.55
89,176,2025-04-23,Belgique,Email,1,22.2
90,855,2025-01-02,France,Réseaux sociaux,4,2.17
91,783,2024-10-04,Allemagne,Site web,4,23.01
92,110,2024-08-29,Allemagne,Réseaux sociaux,3,0.56
93,684,2024-06-28,France,Email,4,24.87
94,963,2025-04-15,Allemagne,Site web,1,9.96
95,864,2025-02-02,Espagne,Email,2,17.95
96,202,2024-12-30,Belgique,Réseaux sociaux,1,22.48
97,168,2025-01-01,Allemagne,Mobile app,1,19.11
98,614,2025-03-13,Belgique,Email,2,20.17
99,86,2024-09-12,France,Email,4,26.78
100,654,2025-02-08,Allemagne,Mobile app,2,11.22
101,959,2024-08-19,Belgique,Email,1,16.41
102,849,2025-03-03,Espagne,Email,4,5.25
103,725,2024-06-29,Espagne,Email,1,14.03
104,51,2024-11-01,France,Mobile app,1,4.5
105,112,2024-09-15,Italie,Réseaux sociaux,4,19.01
106,463,2025-02-24,Allemagne,Email,2,9.73
107,442,2024-06-15,Espagne,Site web,3,25.77
108,271,2024-08-15,Espagne,Réseaux sociaux,4,10.31
109,577,2024-07-18,France,Réseaux sociaux,1,8.61
110,344,2024-09-30,Espagne,Site web,1,14.74
111,183,2025-04-13,Allemagne,Site web,4,5.26
112,503,2024-11-17,France,Site web,1,6.11
113,844,2024-10-30,Belgique,Mobile app,3,23.49
114,10,2025-03-02,France,Email,4,14.92
115,494,2024-11-15,Allemagne,Réseaux sociaux,1,6.19
116,234,2024-11-19,Allemagne,Site web,3,0.95
117,298,2025-01-28,Belgique,Email,1,13.99
118,244,2024-08-31,France,Email,4,22.28
119,509,2025-01-02,Allemagne,Mobile app,2,10.54
120,351,2024-06-20,Allemagne,Réseaux sociaux,3,7.44
121,267,2025-03-28,Belgique,Email,4,11.89
122,630,2025-03-15,Italie,Site web,4,28.77
123,656,2024-07-11,France,Site web,4,12.69
124,893,2025-06-06,Allemagne,Mobile app,2,7.79
125,201,2024-07-20,Espagne,Site web,1,17.08
126,239,2025-01-14,Belgique,Site web,2,24.32
127,334,2024-10-03,Italie,Mobile app,4,0.67
128,915,2025-03-24,Italie,Mobile app,3,16.74
129,415,2025-05-03,Belgique,Site web,1,25.09
130,969,2025-01-18,Italie,Réseaux sociaux,2,6.47
131,484,2025-06-05,Allemagne,Réseaux sociaux,3,27.65
132,437,2025-01-27,Italie,Mobile app,4,17.33
133,999,2024-10-28,France,Réseaux sociaux,3,15.5
134,246,2024-10-27,Espagne,Réseaux sociaux,3,28.91
135,858,2025-04-27,Allemagne,Réseaux sociaux,4,3.89
136,8,2024-09-30,Belgique,Mobile app,2,22.2
137,152,2024-09-10,Espagne,Réseaux sociaux,4,24.56
138,392,2025-02-05,Allemagne,Site web,3,14.66
139,211,2024-08-29,Espagne,Site web,4,0.19
140,367,2024-12-08,Italie,Mobile app,1,15.73
141,944,2025-06-11,Belgique,Réseaux sociaux,1,4.61
142,670,2024-11-18,Belgique,Email,3,16.88
143,570,2025-01-24,France,Email,4,22.16
144,86,2024-06-16,Italie,Site web,3,15.93
145,55,2024-09-24,France,Site web,4,18.92
146,713,2024-08-21,France,Email,1,3.12
147,634,2024-11-20,Italie,Mobile app,1,2.91
148,446,2024-12-28,Allemagne,Réseaux sociaux,3,25.53
149,620,2024-07-26,France,Email,1,1.48
150,304,2025-01-17,Espagne,Réseaux sociaux,3,8.53
151,132,2024-07-13,Allemagne,Email,2,28.13
152,421,2024-12-27,Italie,Site web,3,13.77
153,904,2024-10-07,Belgique,Réseaux sociaux,4,20.24
154,385,2024-10-25,Allemagne,Mobile app,4,6.65
155,988,2024-07-30,France,Réseaux sociaux,4,8.12
156,198,2025-04-22,Espagne,Réseaux sociaux,3,15.27
157,47,2024-12-31,Italie,Email,2,19.14
158,740,2024-09-23,Belgique,Mobile app,3,28.81
159,757,2025-05-21,Espagne,Site web,3,17.23
160,203,2025-01-09,Belgique,Réseaux sociaux,2,2.88
161,261,2025-04-26,Italie,Réseaux sociaux,1,11.01
162,690,2025-04-19,Allemagne,Email,1,7.33
163,24,2025-01-24,France,Site web,1,7.63
164,687,2024-09-20,Italie,Email,1,15.16
165,786,2025-03-11,Espagne,Mobile app,1,9.5
166,340,2024-12-03,Allemagne,Site web,2,8.68
167,412,2024-11-08,Belgique,Mobile app,2,29.04
168,973,2025-01-19,Allemagne,Email,3,17.52
169,261,2024-12-19,Allemagne,Site web,1,7.85
170,286,2025-04-10,Espagne,Mobile app,4,8.28
171,513,2024-09-17,France,Mobile app,2,24.33
172,86,2025-04-05,Allemagne,Email,2,26.59
173,850,2024-10-24,Allemagne,Site web,1,20.37
174,430,2025-04-12,France,Mobile app,4,12.94
175,581,2024-12-10,France,Réseaux sociaux,4,22.94
176,31,2025-03-06,Belgique,Site web,2,28.12
177,710,2024-12-10,Belgique,Site web,3,4.99
178,603,2025-05-29,France,Réseaux sociaux,4,25.85
179,440,2025-01-28,Italie,Site web,3,25.46
180,985,2025-05-15,France,Site web,1,11.0
181,349,2024-06-25,Belgique,Réseaux sociaux,1,8.75
182,895,2024-12-19,Espagne,Email,1,16.96
183,412,2024-07-30,Espagne,Mobile app,3,8.17
184,528,2024-09-23,Allemagne,Réseaux sociaux,2,4.36
185,310,2024-07-11,Espagne,Site web,3,28.59
186,949,2024-11-10,Belgique,Mobile app,1,14.74
187,396,2025-02-16,Espagne,Mobile app,4,14.17
188,788,2025-04-17,Italie,Mobile app,2,3.78
189,338,2024-09-08,France,Email,3,15.12
190,674,2025-03-04,France,Site web,4,22.28
191,437,2025-03-14,Belgique,Site web,4,7.44
192,704,2024-09-12,Allemagne,Mobile app,1,11.07
193,663,2025-04-21,France,Mobile app,1,5.37
194,365,2024-10-15,Espagne,Email,4,10.65
195,923,2024-11-22,Italie,Email,2,25.84
196,113,2024-10-30,Allemagne,Mobile app,3,7.11
197,785,2025-01-01,Allemagne,Site web,2,0.89
198,176,2025-01-09,Allemagne,Réseaux sociaux,2,16.09
199,149,2024-06-18,France,Email,3,17.38
200,178,2025-03-14,Allemagne,Site web,3,9.87
201,936,2025-05-04,Belgique,Email,3,19.25
202,382,2024-09-25,Espagne,Site web,2,1.14
203,223,2024-09-19,Italie,Mobile app,2,10.22
204,259,2024-10-04,Espagne,Email,3,4.34
205,785,2024-07-21,Belgique,Réseaux sociaux,4,6.89
206,189,2024-11-16,Belgique,Mobile app,4,11.48
207,306,2025-03-03,Espagne,Email,3,14.8
208,378,2025-04-01,France,Mobile app,2,2.8
209,602,2025-04-29,Belgique,Réseaux sociaux,3,3.04
210,343,2024-10-25,Allemagne,Email,1,20.22
211,774,2024-07-14,Italie,Email,4,12.12
212,156,2025-01-16,Italie,Email,4,5.3
213,712,2025-06-11,Belgique,Site web,4,7.05
214,55,2024-08-23,Allemagne,Site web,3,21.6
215,766,2024-12-17,Espagne,Email,1,1.55
216,442,2024-10-14,Italie,Mobile app,4,15.26
217,685,2024-10-30,Allemagne,Mobile app,1,10.81
218,200,2024-09-07,Allemagne,Email,2,24.33
219,403,2025-05-28,France,Réseaux sociaux,2,23.7
220,614,2025-01-23,Belgique,Réseaux sociaux,4,20.68
221,797,2024-09-27,Allemagne,Réseaux sociaux,2,11.54
222,663,2024-08-24,Espagne,Site web,3,18.94
223,623,2025-03-31,Italie,Site web,2,19.2
224,928,2025-03-07,France,Site web,3,9.97
225,778,2025-06-11,Espagne,Site web,2,26.4
226,603,2025-06-03,Italie,Mobile app,1,29.55
227,177,2024-08-27,Belgique,Email,2,9.43
228,449,2024-12-25,Espagne,Email,1,24.04
229,743,2025-03-28,Italie,Email,3,15.03
230,541,2024-08-31,France,Mobile app,2,13.91
231,955,2024-09-14,Italie,Réseaux sociaux,2,11.6
232,301,2025-03-27,Allemagne,Réseaux sociaux,1,8.76
233,707,2024-09-17,France,Site web,2,27.59
234,307,2025-05-19,Espagne,Site web,3,22.22
235,751,2024-09-26,Belgique,Mobile app,1,13.22
236,869,2024-09-03,France,Mobile app,3,22.55
237,991,2024-09-12,France,Réseaux sociaux,4,21.56
238,896,2024-09-01,France,Email,3,8.02
239,267,2025-05-05,Italie,Email,1,5.28
240,214,2024-09-19,Allemagne,Mobile app,3,25.09
241,594,2025-05-05,Belgique,Mobile app,2,24.34
242,640,2025-02-10,Belgique,Mobile app,3,29.91
243,483,2024-10-31,Allemagne,Site web,2,0.58
244,262,2024-08-14,Italie,Email,1,16.21
245,67,2025-04-13,Italie,Mobile app,2,21.04
246,574,2024-07-26,Allemagne,Mobile app,3,17.48
247,133,2024-07-31,Allemagne,Site web,4,21.31
248,649,2025-06-07,Espagne,Mobile app,2,4.12
249,540,2024-07-15,Italie,Email,4,0.05
250,512,2025-03-04,France,Site web,4,2.79
251,211,2025-02-27,Belgique,Mobile app,4,11.4
252,988,2024-12-23,Italie,Email,4,9.87
253,987,2025-02-08,Allemagne,Email,3,26.22
254,717,2024-06-17,France,Site web,2,2.51
255,253,2025-04-07,Espagne,Email,1,13.28
256,38,2025-05-13,Espagne,Site web,1,28.73
257,43,2025-01-11,France,Email,2,15.09
258,629,2024-07-01,France,Mobile app,1,3.97
259,405,2025-05-10,Allemagne,Site web,2,8.74
260,987,2024-12-19,Allemagne,Email,3,18.8
261,702,2024-11-06,Belgique,Site web,2,0.36
262,46,2025-02-11,Belgique,Email,3,29.04
263,454,2024-10-15,Espagne,Site web,2,17.01
264,678,2024-12-23,France,Mobile app,4,21.12
265,305,2025-05-29,Espagne,Site web,4,14.97
266,715,2025-05-23,Allemagne,Site web,3,28.74
267,233,2025-05-29,Italie,Mobile app,1,17.68
268,245,2025-01-24,Allemagne,Email,4,19.86
269,721,2025-05-18,Italie,Réseaux sociaux,2,25.83
270,760,2024-09-29,France,Mobile app,1,25.85
271,295,2024-12-22,France,Site web,1,0.85
272,839,2024-08-25,France,Mobile app,3,8.5
273,383,2025-04-07,Belgique,Mobile app,1,7.39
274,158,2025-06-05,Belgique,Site web,3,0.2
275,405,2024-12-30,Italie,Site web,4,26.3
276,1,2024-10-01,Espagne,Réseaux sociaux,4,9.51
277,217,2024-11-16,Espagne,Mobile app,1,10.41
278,928,2024-09-09,Italie,Site web,1,2.99
279,507,2025-04-02,Belgique,Email,2,29.69
280,761,2025-01-24,Allemagne,Email,2,24.79
281,904,2024-08-03,Italie,Email,3,17.16
282,581,2024-07-06,Espagne,Email,1,23.16
283,30,2025-01-05,Italie,Mobile app,1,23.31
